pergunta,resposta
Como o APAS ajuda no voo?,"Com APAS ativado, a aeronave pode contornar obstáculos enquanto responde às entradas dos manípulos de controle."
Como ativar o APAS?,"No DJI Fly, entre em Definições do sistema, Segurança e ative o APAS selecionando Ignorar."
Como montar as hélices corretamente?,Instale hélices marcadas nos motores dos braços com marcas e hélices sem marcas nos motores dos braços sem marcas.
Qual chave deve ser usada para montar hélices?,Use apenas a chave de fendas fornecida no pacote da aeronave para montar as hélices.
O que fazer se uma hélice estiver partida?,"Retire as duas hélices e parafusos do motor correspondente, elimine-os e use duas hélices da mesma embalagem."
Posso misturar hélices de embalagens diferentes?,Não. O manual orienta não misturar hélices de embalagens diferentes.
As hélices devem ser inspecionadas antes do voo?,"Sim. Verifique se estão em boas condições, sem envelhecimento, lascas, quebras ou folgas, e substitua se necessário."
Como verificar o nível da bateria da aeronave?,Prima o botão de alimentação uma vez para verificar o nível da bateria pelos LEDs.
Qual é a temperatura ideal de carregamento da bateria?,A temperatura ideal de carregamento é de 22 °C a 28 °C.
Em que faixa de temperatura a bateria pode ser carregada?,O carregamento é interrompido se a célula não estiver entre 5 °C e 40 °C.
Devo carregar a bateria imediatamente após o voo?,Não. Aguarde a bateria arrefecer até a temperatura ambiente antes de carregá-la.
A bateria pode ser carregada com a aeronave ligada?,Não. A bateria não pode ser carregada se a aeronave estiver ligada.
Como inserir a Bateria de Voo Inteligente com segurança?,Insira a bateria no compartimento até ouvir um clique e confirme que está montada de forma segura antes da decolagem.
Como remover a Bateria de Voo Inteligente?,Pressione a parte texturizada das fivelas nas laterais da bateria e remova-a do compartimento.
Quais cuidados tomar com a suspensão cardã antes de decolar?,"Certifique-se de que não há adesivos ou objetos na suspensão cardã, remova o protetor e decole de terreno aberto e plano."
Quais são os modos de operação da suspensão cardã?,"Há o Modo de Seguimento, adequado para fotos, e o Modo FPV, que sincroniza a suspensão com o movimento da aeronave."
Como controlar a inclinação da câmera?,Use o botão da suspensão cardã no telecomando ou ajuste pela visualização da câmera no DJI Fly.
Qual cartão é necessário para armazenar vídeos de alta resolução?,É necessário cartão microSD UHS-I Speed Grade 3 ou superior devido às altas velocidades de leitura e gravação.
A aeronave grava sem cartão microSD?,"Sim. Fotos e vídeos podem ser salvos no armazenamento interno quando não houver cartão microSD, mas o uso de microSD é recomendado para dados grandes."
Qual é o limite de duração para uma gravação de vídeo única?,Cada gravação de vídeo única é limitada a 30 minutos para garantir estabilidade do sistema de câmera.
O que fazer antes de gravar fotos ou vídeos importantes?,Verifique as configurações da câmera e tire algumas fotos de teste para confirmar que a câmera está funcionando corretamente.
Quais recursos o telecomando DJI RC possui?,"O DJI RC tem tela tátil de 5,5 polegadas, resolução 1920×1080, transmissão OcuSync O3, Wi-Fi, GNSS, Bluetooth, alto-falantes e microSD."
Qual é a autonomia máxima do DJI RC?,O DJI RC tem tempo máximo de funcionamento de aproximadamente quatro horas.
Qual é a autonomia máxima do DJI RC-N1?,O DJI RC-N1 tem tempo máximo de funcionamento de aproximadamente seis horas.
Qual é o modo de controle padrão dos manípulos?,O modo padrão é o Modo 2.
Para que serve o botão de Pausa de Voo/RTH?,Pressione uma vez para travar e pairar; mantenha pressionado até o sinal sonoro para iniciar RTH; pressione de novo para cancelar o RTH.
Quais posições do interruptor de modo correspondem aos modos de voo?,"S corresponde ao Modo Desportivo, N ao Modo Normal e C ao Modo Cinema."
Como ligar um telecomando à aeronave?,"Ligue ambos, abra o DJI Fly, acesse Controlar e Conectar-se à aeronave, e mantenha o botão de alimentação da aeronave premido por mais de quatro segundos."
Quando calibrar a bússola do telecomando?,Calibre após usar em áreas com interferência eletromagnética ou quando aparecer um aviso de calibração.
Qual é a altura máxima geral de voo informada no manual?,"A altura de voo é limitada a 500 m e o usuário não deve ultrapassar esse limite, além de cumprir leis locais."
Em quais condições meteorológicas não se deve operar a aeronave?,"Não opere em condições severas, incluindo ventos acima de 10,7 m/s, neve, chuva, nevoeiro, granizo ou relâmpagos."
O que são zonas GEO?,"Zonas GEO são áreas de voo específicas com restrições, avisos ou limites, como aeroportos, grandes eventos, emergências públicas e áreas sensíveis."
Como iniciar os motores?,"Execute o Comando de Manípulos Combinados, CSC, conforme indicado no manual, e solte os dois manípulos quando os motores começarem a girar."
Como parar os motores após pousar?,"Após a aterragem, empurre o acelerador para baixo e segure; os motores param após três segundos."
O que conferir na lista pré-voo?,"Confirme bateria e hélices seguras, câmera e suspensão cardã funcionando, motores livres, DJI Fly conectado, firmware atualizado e ambiente seguro."
Como atualizar o firmware pelo DJI Fly?,"Conecte a aeronave ou telecomando ao DJI Fly, ligue à internet e siga as instruções quando aparecer a notificação de atualização."
